YYMM,AY.4,BA.2,BA.1.1,B.1.1.7,BA.1,AY.103,AY.44,BA.1.17.2,BA.2.12.1,AY.3,BA.2.9,AY.43,BA.5.2.1,BA.1.15,AY.25,B.1.617.2,BA.5.1,AY.122,AY.4.2,BA.5.2,XBB.1.5,B.1.2,unclassifiable,AY.100,BQ.1.1,AY.25.1,BA.1.1.18,B.1.177,B.1,AY.5,BA.2.3,BA.1.15.1,AY.98,AY.39,BA.5.5,B.1.526,AY.26,AY.47,BA.4.1,B.1.429,BE.1.1,AY.119,AY.120,AY.4.2.2,BA.1.18,BA.4.6,AY.6,BA.2.10,JN.1,BA.1.17,BA.1.20,BA.1.1.1,BQ.1,B.1.1,AY.126,BA.5.6,AY.20,BF.7,P.1,BA.4,AY.9.2,AY.4.2.1,HV.1,AY.118,AY.75,BA.1.1.14,BA.2.23,BA.1.1.15,AY.9,BA.1.16,AY.46.6,AY.121,BA.2.1,B.1.160,B.1.427,BE.1,BA.5,AY.98.1,JN.1.4,AY.3.1,AY.46.5,BF.5,BF.10,B.1.1.519,AY.117,B.1.637,AY.4.6,AY.125,AY.42,D.2,AY.127,AY.14,AY.54,BA.5.2.9,CH.1.1
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15913,38,2447,12182,3931,42,19,2619,0,30,0,820,0,696,27,1316,0,239,1524,0,0,368,2365,16,0,25,71,1756,968,954,4,647,688,18,0,7,4,6,0,4,0,11,620,545,225,0,536,13,0,614,108,152,0,600,56,0,2,0,19,0,73,308,0,1,5,71,0,137,496,209,22,62,0,254,0,0,0,27,0,6,246,0,0,5,4,4,4,23,16,392,100,0,0,0,0
2001,0,0,9,0,51,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,241,0,0,0,0,5,11463,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2004,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,884,0,0,0,0,1,11718,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6887,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0
2005,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,47,740,0,0,0,0,2,5120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,22,0,0,0,0,0
2006,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,306,306,0,0,0,0,9,2948,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,388,0,0,0,0,0
2007,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1336,191,0,0,1,0,26,1945,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860,0,0,0,0,0
2008,2,0,0,0,0,0,2,0,2,1,0,9,0,0,3,9,0,6,0,0,0,1164,227,2,0,0,0,873,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,918,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,4077,0,0,0,0,0
2009,1,1,0,6,2,0,1,0,1,1,0,10,0,0,0,4,0,8,0,1,0,2328,632,0,0,2,0,4533,1575,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1782,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,648,0,0,0,0,0
2010,10,1,0,89,0,3,4,0,2,0,0,18,0,0,3,7,0,18,0,0,0,4539,1484,6,0,1,0,11050,1899,0,0,0,1,0,0,1,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,746,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,1,0,2369,15,0,0,1,0,0,0,0,0,0,0,4,1,10,5,31,0,0,0,0,0
2011,3,0,17,2472,3,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,9111,1390,0,0,0,1,14869,2067,1,0,0,0,0,0,3,0,0,0,366,0,0,0,0,0,0,0,0,0,1,0,1,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,139,0,0,0,0,1,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0
2012,2,7,21,19042,3,1,2,1,0,0,2,2,0,0,0,13,0,2,0,0,6,12319,2006,0,0,2,1,11921,2547,1,0,0,0,0,0,34,0,0,0,2614,0,0,0,0,0,0,0,1,0,0,0,0,0,816,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1342,1168,0,0,0,0,0,0,0,0,134,0,13,0,0,0,0,0,0,0,0,0
