strain_name,sample_count,Percentage
AY.4,831560,19.94418429734861
B.1.1.7,625047,14.991164272577873
AY.103,244587,5.866189096079182
AY.44,211941,5.083205498297612
AY.3,139982,3.357336579815591
AY.43,128015,3.0703193429519002
AY.25,119921,2.8761923675048617
B.1.617.2,93146,2.2340191814912136
AY.122,88935,2.1330223080531754
AY.4.2,88456,2.1215339436796725
B.1.2,80549,1.9318919873095544
AY.100,66612,1.5976261537531695
AY.25.1,58138,1.39438523579688
B.1.177,55516,1.3314990324830505
AY.5,51832,1.2431417582617887
B.1,49045,1.1762981851742058
AY.98,43706,1.0482472929192341
AY.39,41245,0.9892225231422188
unclassifiable,38170,0.9154715409949931
B.1.526,36678,0.8796873246165668
AY.47,33251,0.7974939536186668
AY.26,33078,0.7933447113710344
B.1.429,31167,0.7475111741731975
AY.119,30530,0.7322333284405852
AY.120,30409,0.729331257273166
AY.4.2.2,30261,0.7257816165064052
AY.6,28305,0.6788687966429993
AY.126,21971,0.5269537654493317
B.1.1,21627,0.5187032490725364
AY.20,20180,0.4839983153596793
AY.9.2,19401,0.4653147332157155
AY.4.2.1,18838,0.4518117078664836
AY.118,17888,0.429026851593357
AY.75,16853,0.4042033502852664
AY.9,15193,0.36438981195538195
AY.46.6,14731,0.35330917658887195
B.1.427,14280,0.3424923658739455
B.1.160,14155,0.33949435846958675
AY.121,14012,0.3360646379990004
AY.98.1,13956,0.3347215306818476
AY.46.5,13906,0.3335223277201041
AY.3.1,13823,0.3315316508036099
AY.117,13294,0.31884408346836357
B.1.1.519,12932,0.3101618540253406
B.1.637,12150,0.29140631970367215
D.2,11416,0.2738020202252775
AY.125,11337,0.27190727954572275
AY.14,11287,0.2707080765839792
AY.42,11267,0.2702283953992818
AY.54,10850,0.26022704269834096
AY.127,10370,0.2487146942656033
AY.129,9730,0.2333648963552864
AY.119.2,9549,0.22902378163377493
AY.7.1,8734,0.2094767733573558
AY.33,8647,0.20739016020392206
B.1.243,8615,0.20662267030840623
AY.36,8558,0.20525557893201862
B.1.351,8094,0.19412697544703889
AY.113,7894,0.18933016360006485
AY.111,7732,0.1854447460040159
AY.39.1,6651,0.15951797797112127
B.1.177.7,6197,0.14862921507849022
AY.43.6,6127,0.14695033093204934
Q.3,5884,0.14112220453797586
B.1.258,5518,0.1323440388580134
AY.7,5414,0.12984969669758692
B.1.1.37,5266,0.12630005593082613
AY.13,5207,0.1248849964359688
AY.46,5178,0.12418945871815756
AY.46.4,5038,0.12083169042527574
B.1.177.4,4947,0.11864914103490257
AY.39.1.1,4731,0.11346858424017062
AD.2,4724,0.11330069582552653
AY.4.8,4657,0.11169376385679022
AY.99.2,4552,0.10917543763712886
B.1.234,4516,0.10831201150467352
AY.114,4493,0.10776037814227153
B,4224,0.10130866620809145
B.1.177.57,3932,0.09430532091150938
B.1.240,3916,0.09392157596375145
AY.116.1,3858,0.09253050052812899
B.1.369,3777,0.0905877917301045
AY.4.2.3,3442,0.082553131886423
B.1.221,3289,0.07888357082348788
AY.110,3268,0.07837990557955561
AY.120.1,3229,0.07744452726939567
AY.107,3185,0.07638922866306139
B.1.1.222,3160,0.07578962718218962
AY.4.5,3056,0.07329528502176313
A.1,3054,0.0732473169032934
R.1,3038,0.07286357195553547
AY.43.4,3007,0.0721200661192545
B.1.1.311,2955,0.07087289503904125
B.1.575,2739,0.06569233824430931
AY.2,2638,0.06326994826158741
AY.1,2599,0.062334569951427485
B.1.177.45,2592,0.06216668153678339
B.1.177.81,2501,0.05998413214641021
B.1.177.86,2446,0.05866500888849235
B.1.311,2392,0.057369869689809366
B.1.1.307,2315,0.055523097128724365
B.40,2274,0.05453975070009469
B.1.1.369,2215,0.05312469120523735
AY.4.3,2204,0.05286086655365378
AY.112,2186,0.05242915348742612
B.1.595,2152,0.05161369547344053
B.1.36.17,2104,0.05046246063016677
B.1.623,2046,0.04907138519454429
AY.36.1,2026,0.048591704009846894
AY.124,2009,0.0481839750028541
B.1.400,1990,0.04772827787739157
AY.4.6,1987,0.04765632569968696
AY.90,1965,0.04712867639651982
AY.37,1955,0.046888835804171115
AY.67,1949,0.04674493144876189
AY.5.3,1875,0.044970111065381506
B.1.561,1857,0.04453839799915384
AY.4.9,1839,0.04410668493292618
AY.121.1,1811,0.043435131274349816
B.1.1.1,1762,0.04225991237184118
B.1.1.318,1757,0.04213999207566683
AY.43.8,1717,0.04118062970627202
AY.8,1716,0.04115664564703715
B.1.232,1711,0.0410367253508628
B.1.517,1662,0.039861506448354164
B.1.177.16,1656,0.03971760209294494
B.1.1.434,1641,0.039357841204421894
B.1.177.44,1633,0.03916596873054293
B.1.177.54,1632,0.03914198467130806
B.1.177.15,1614,0.0387102716050804
AY.62,1595,0.038254574479617866
B.1.177.65,1580,0.03789481359109481
AY.4.1,1575,0.03777489329492046
AY.23,1542,0.03698341934016975
B.1.1.39,1510,0.036215929444653905
AY.48,1503,0.03604804103000982
AY.64,1494,0.03583218449689598
P.2,1492,0.03578421637842624
AY.4.10,1483,0.03556835984531241
B.1.177.56,1437,0.03446509312050838
AY.41,1431,0.03432118876509917
B.1.177.8,1392,0.03338581045493923
AY.35,1343,0.03221059155243059
B.1.1.372,1343,0.03221059155243059
AY.10,1337,0.03206668719702137
B.1.177.87,1336,0.0320427031377865
B.1.596,1328,0.031850830663907544
AY.4.15,1325,0.03177887848620293
B.1.177.17,1312,0.03146708571614962
AY.4.4,1297,0.03110732482762657
B.1.565,1286,0.030843500176042992
AY.29,1286,0.030843500176042992
B.1.582,1272,0.030507723346754813
AY.65,1269,0.030435771169050205
AY.16,1268,0.030411787109815333
AY.84,1264,0.030315850872875853
AY.46.1,1260,0.03021991463593637
AY.57,1252,0.03002804216205741
AY.120.2.1,1212,0.029068679792662606
B.1.177.10,1171,0.02808533336403293
AY.80,1146,0.027485731883161175
B.1.258.17,1135,0.027221907231577608
B.1.1.317,1135,0.027221907231577608
B.1.1.291,1121,0.02688613040228942
B.1.177.11,1118,0.026814178224584814
AY.25.3,1117,0.02679019416534994
AY.109,1097,0.026310512980652543
B.1.1.279,1081,0.025926768032894617
B.1.160.16,1078,0.025854815855190005
AY.45,1069,0.025638959322076174
