Pangolin,Count,Percentage
AY.4,835337,9.345630129701934
BA.2,795613,8.901203734998624
BA.1.1,686051,7.675439847764605
B.1.1.7,634261,7.096020781666415
BA.1,317877,3.5563621253928193
AY.103,247178,2.7653918887819704
AY.44,214364,2.3982735795534325
BA.1.17.2,180822,2.023010511102661
BA.2.12.1,170814,1.9110424475090964
AY.3,142169,1.5905663102551357
BA.2.9,130423,1.4591537528040963
AY.43,129925,1.4535822004789969
BA.5.2.1,125607,1.4052730379493197
BA.1.15,123167,1.3779746691275474
AY.25,121369,1.3578589039056022
B.1.617.2,101978,1.140915186765035
BA.5.1,97307,1.0886567110410603
AY.122,96354,1.077994684202065
BA.5.2,89232,0.9983147732394986
AY.4.2,88627,0.991546120314428
XBB.1.5,88281,0.9876751221126521
B.1.2,84159,0.9415587793735762
unclassifiable,74360,0.8319289776995821
AY.100,67989,0.7606511466489629
BQ.1.1,63230,0.7074081395904327
AY.25.1,58708,0.6568166544215581
BA.1.1.18,58118,0.6502158193376051
B.1.177,56190,0.6286456328259753
B.1,53776,0.60163814826214
AY.5,52081,0.582674732215868
BA.2.3,47222,0.5283129395498879
BA.1.15.1,44910,0.5024466163056514
AY.98,43811,0.4901511624797793
AY.39,41927,0.46907324163542735
BA.5.5,37415,0.41859363502729785
B.1.526,37245,0.41669169949463336
AY.26,34300,0.3837434633552403
AY.47,33697,0.3769971861423187
BA.4.1,32582,0.3645227266192548
B.1.429,32000,0.3580113943838976
BE.1.1,31100,0.3479423239168505
AY.119,30840,0.34503348133748135
AY.120,30614,0.3425050258646451
AY.4.2.2,30299,0.33898085120117855
BA.4.6,29963,0.3352217315601477
BA.1.18,29754,0.3328834696405778
AY.6,28528,0.3191671580932447
BA.2.10,28152,0.3149605242092339
JN.1,27858,0.31167129452333187
BA.1.17,25788,0.2885124324491235
BA.1.20,25477,0.285033009209955
B.1.1,24553,0.27469543019711995
BA.1.1.1,24500,0.2741024738251716
BQ.1,24463,0.27368852315041525
AY.126,24219,0.27095868626823805
BA.5.6,23334,0.2610574336423083
AY.20,21176,0.2369140402335443
P.1,19984,0.22357811579274406
BA.4,19916,0.22281734157967828
BF.7,19767,0.22115035102457828
AY.9.2,19715,0.22056858250870445
AY.4.2.1,18878,0.2112043469743506
HV.1,18793,0.21025337920801837
AY.118,18099,0.2024890070923176
AY.75,17310,0.19366178864953962
BA.1.1.14,15852,0.1773498944929233
BA.2.23,15446,0.1728076249266776
BA.1.1.15,15435,0.17268455850985812
AY.9,15253,0.17064836870429972
BA.1.16,15134,0.16931701383143458
AY.46.6,14943,0.1671801333212057
AY.121,14882,0.1664976741006614
BA.2.1,14745,0.16496493781845534
B.1.160,14739,0.16489781068200834
BE.1,14538,0.1626490516110345
B.1.427,14515,0.16239173092132106
AY.98.1,14220,0.1590913133793445
JN.1.4,14172,0.15855429628776865
AY.3.1,14089,0.1576257042335854
BA.5,13976,0.15636147649716728
AY.46.5,13916,0.1556902051326975
BF.5,13647,0.15268067184865786
BF.10,13553,0.15162901337765514
B.1.1.519,13477,0.15077873631599337
AY.117,13407,0.14999558639077862
B.1.637,12322,0.13785676254994958
AY.4.6,11669,0.13055109253330316
AY.125,11640,0.13022664470714276
AY.42,11612,0.12991338473705685
AY.127,11425,0.12782125565112595
D.2,11420,0.12776531637075347
AY.14,11359,0.12708285715020917
AY.54,10976,0.1227979082736769
BA.5.2.9,10165,0.11372455699725997
CH.1.1,10020,0.11210231786645795
AY.129,9890,0.11064789657677335
KP.3.1.1,9693,0.10844388893009749
AY.119.2,9602,0.10742579402731828
BA.1.1.13,9529,0.10660908053388002
AY.33,9435,0.10555742206287731
B.1.243,9253,0.10352123225731891
AY.36,8965,0.10029912970786381
XBB.1.16,8955,0.10018725114711885
B.1.351,8881,0.09935934979760609
BA.5.2.20,8847,0.09897896269107319
FL.1.5.1,8801,0.09846432131164634
AY.7.1,8769,0.09810630991726245
BA.5.1.22,8578,0.09596942940703355
AY.113,8142,0.09109152415855296
BA.5.1.30,7896,0.08833931156422674
XBB.1.16.6,7889,0.08826099657170527
AY.111,7811,0.08738834379789451
BA.2.18,7769,0.08691845384276564
BA.2.8,7476,0.08364041201293808
BA.5.1.1,7240,0.08100007797935685
EG.5.1.1,7183,0.08036237018311052
BF.26,7031,0.078661816059787
XBB.1,6817,0.07626761485984469
B,6808,0.07616692415517422
AY.39.1,6745,0.07546208922248092
BA.5.1.10,6693,0.07488032070660709
BA.5.1.23,6672,0.07464537572904266
BA.1.1.2,6665,0.07456706073652118
BD.1,6649,0.07438805503932923
KP.2.3,6313,0.0706289353982983
B.1.258,6307,0.07056180826185132
B.1.1.529,6242,0.06983459761700904
B.1.177.7,6212,0.06949896193477413
AY.43.6,6128,0.0685591820245164
BA.2.37,6091,0.06814523134976003
BA.5.1.3,5978,0.06688100361334187
Q.3,5927,0.06631042295354253
BF.1,5827,0.06519163734609286
BE.3,5710,0.06388265818537674
AY.34,5686,0.06361414963958881
AY.46,5454,0.06101856703030555
AY.7,5423,0.060671743491996145
B.1.1.37,5276,0.05902712864904512
AY.13,5245,0.058680305110735714
BA.2.36,5202,0.058199227299532356
JN.1.1,5174,0.057885967329446446
BA.5.2.21,5158,0.0577069616322545
BF.28,5146,0.057572707359360535
BA.5.2.6,5113,0.05720350810890214
AY.46.4,5084,0.056879060282741735
BQ.1.2,4976,0.05567077182669608
B.1.177.4,4951,0.055391075424833666
BA.5.2.3,4849,0.05424991410523499
AY.99.2,4847,0.05422753839308599
BQ.1.1.4,4781,0.053489139892169205
BA.5.9,4777,0.05344438846787122
B.1.621,4747,0.053108752785636315
AY.39.1.1,4733,0.05295212280059336
AD.2,4724,0.05285143209592289
BA.1.1.12,4698,0.052560547837985964
B.1.234,4697,0.05254935998191148
XBB.1.16.11,4693,0.052504608557613484
AY.4.8,4673,0.05228085143612355
BF.11,4524,0.05061386088102352
AY.114,4515,0.05051317017635305
BF.27,4493,0.05026703734271413
EG.5.1,4378,0.048980433894146996
BQ.1.1.20,4334,0.04848816822686913
BA.4.4,4325,0.048387477522198664
BA.2.12,4307,0.04818609611285772
BA.5.1.5,4284,0.04792877542314429
BF.21,4284,0.04792877542314429
EG.5.1.3,4137,0.046284160580193266
XBB.1.5.7,4120,0.04609396702692682
B.1.240,4049,0.045299629245637546
XBB.1.5.13,4025,0.045031120699849624
BQ.1.12,3984,0.044572418600795256
BQ.1.8,3966,0.04437103719145431
B.1.177.57,3945,0.04413609221388988
B.1.1.222,3931,0.043979462228846924
B.1.369,3897,0.04359907512231403
XBB.1.9.1,3888,0.04349838441764356
AY.116.1,3880,0.04340888156904759
BA.1.1.11,3877,0.0433753180008241
AY.34.1,3860,0.04318512444755765
BE.1.1.2,3779,0.04227890810552341
KP.3.1,3746,0.041909708855065016
BA.5.1.2,3712,0.041529321748532126
BA.5.1.24,3594,0.0402091547317415
BQ.1.1.3,3580,0.04005252474669855
P.1.17,3577,0.04001896117847506
B.1.221,3548,0.03969451335231465
BA.2.7,3513,0.03930293838970726
AY.4.2.3,3496,0.03911274483644082
BN.1.3,3495,0.039101556980366325
CH.1.1.1,3485,0.03898967841962135
BF.8,3403,0.03807227422151261
AY.110,3295,0.03686398576546696
AY.120.1,3272,0.03660666507575353
AY.107,3255,0.03641647152248709
AY.4.5,3232,0.03615915083277366
BA.1.14,3197,0.035767575870166275
BN.1.3.1,3145,0.03518580735429244
DV.6,3132,0.03504036522532398
HK.3,3132,0.03504036522532398
JN.1.7,3122,0.03492848666457901
R.1,3112,0.034816608103834044
BA.5.8,3096,0.0346376024066421
BQ.1.10,3077,0.034425033141226656
A.1,3067,0.03431315458048169
P.1.10,3062,0.0342572153001092
XBB.1.16.1,3027,0.03386564033750182
BQ.1.1.18,3026,0.033854452481427315
AY.43.4,3025,0.03384326462535282
BQ.1.14,3006,0.03363069535993739
JN.1.4.5,2987,0.033418126094521945
B.1.1.311,2965,0.03317199326088301
BF.7.5,2955,0.033060114700138046
BA.1.12,2953,0.033037738987989056
EG.5.1.4,2935,0.03283635757864811
KP.2,2896,0.032400031191742736
B.1.575,2893,0.032366467623519246
BA.2.10.1,2893,0.032366467623519246
BQ.1.11,2884,0.03226577691884878
BF.7.4,2878,0.03219864978240179
JD.1.1,2874,0.03215389835810381
B.1.525,2835,0.03171757197119843
BA.4.2,2829,0.03165044483475145
XBB.1.16.15,2766,0.03094560990205815
BA.5.3.1,2737,0.030621162075897747
BA.2.86.1,2730,0.030542847083376266
KP.3.3,2700,0.03020721140114136
XE,2675,0.029927514999278947
EG.5.1.6,2664,0.029804448582459477
AY.2,2659,0.029748509302086994
BA.5.1.25,2649,0.029636630741342023
AY.1,2634,0.029468812900224572
B.1.177.45,2592,0.02899892294509571
B.1.177.81,2592,0.02899892294509571
JG.3,2570,0.028752790111456778
BN.1.5,2564,0.0286856629750098
BQ.1.1.5,2564,0.0286856629750098
BF.14,2560,0.028640911550711808
BQ.1.3.2,2549,0.028517845133892345
BA.5.2.35,2547,0.02849546942174335
B.1.177.86,2530,0.02830527586847691
BN.1,2521,0.028204585163806434
AY.112,2509,0.028070330890912473
B.1.311,2477,0.027712319496528578
BA.5.2.34,2468,0.027611628791858103
BQ.1.18,2460,0.02752212594326213
BA.1.19,2448,0.02738787167036817
BA.4.6.5,2434,0.027231241685325213
BF.4,2353,0.026325025343290974
BA.5.2.13,2339,0.02616839535824802
XBB.1.5.15,2337,0.026146019646099024
B.1.1.307,2321,0.02596701394890707
B.1.595,2309,0.025832759676013114
JN.1.8.1,2291,0.025631378266672174
BA.5.11,2287,0.025586626842374182
GJ.1.2,2281,0.025519499705927203
B.40,2281,0.025519499705927203
BQ.1.1.2,2272,0.02541880900125673
LB.1.7,2267,0.025362869720884248
AY.4.3,2225,0.024892979765755382
XBB.1.5.18,2224,0.024881791909680883
BA.1.10,2222,0.024859416197531892
B.1.1.369,2218,0.024814664773233904
BA.2.13,2205,0.024669222644265448
XBB.1.9.2,2183,0.024423089810626516
BQ.1.5,2174,0.024322399105956048
