Month,Pangolin,Count
2019-12,A,2
2019-12,B,17
2019-12,unclassifiable,1
2020-01,A,76
2020-01,A.6,2
2020-01,B,122
2020-01,B.1,17
2020-01,B.4,3
2020-01,B.42,1
2020-01,A.5,7
2020-01,B.1.2,8
2020-01,B.1.258,1
2020-01,B.1.36.16,1
2020-01,BA.1,51
2020-01,BA.1.1,9
2020-01,BA.1.1.1,2
2020-01,BA.1.15,1
2020-01,BA.1.15.3,1
2020-01,BA.1.17.2,1
2020-01,BA.1.18,1
2020-01,BA.1.5,1
2020-01,BC.2,1
2020-01,B.55,1
2020-01,B.1.177,5
2020-01,B.1.177.11,1
2020-01,JN.1,1
2020-01,JN.1.4,1
2020-01,unclassifiable,1
2020-02,A,68
2020-02,A.1,72
2020-02,A.2,4
2020-02,A.5,1
2020-02,A.6,3
2020-02,B,323
2020-02,B.1,80
2020-02,B.1.1,31
2020-02,B.1.1.33,2
2020-02,B.1.1.61,2
2020-02,B.1.356,1
2020-02,B.1.36,2
2020-02,B.1.456,1
2020-02,B.1.468,2
2020-02,B.1.492,2
2020-02,B.11,2
2020-02,B.3,12
2020-02,B.4,31
2020-02,B.41,6
2020-02,B.42,7
2020-02,B.43,37
2020-02,B.5,15
2020-02,B.55,7
2020-02,unclassifiable,12
2020-02,B.1.2,2
2020-02,B.1.91,2
2020-02,B.33,8
2020-02,B.61,4
2020-02,R.1,4
2020-02,BA.1,3
2020-02,B.23,1
2020-02,B.29,3
2020-02,B.39,1
2020-02,B.40,17
2020-02,B.1.1.142,6
2020-02,B.1.1.323,1
2020-02,B.1.157,1
2020-02,B.1.76,1
2020-02,B.1.1.286,2
2020-02,B.1.1.311,1
2020-02,B.1.14,2
2020-02,B.1.177,8
2020-02,B.1.223,1
2020-02,BA.4.6,1
2020-03,A,460
2020-03,A.1,2131
2020-03,A.11,4
2020-03,A.2,116
2020-03,A.2.2,76
2020-03,A.3,111
2020-03,A.4,20
2020-03,A.5,70
2020-03,A.6,115
2020-03,B,1498
2020-03,B.1,11468
2020-03,B.1.1,3644
2020-03,B.1.1.1,212
2020-03,B.1.1.10,144
2020-03,B.1.1.113,13
2020-03,B.1.1.132,1
2020-03,B.1.1.142,246
2020-03,B.1.1.16,1
2020-03,B.1.1.164,43
