position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,73,165,21,168,108,375,193,301,16,90,920,22
101,129,487,80,160,130,561,780,902,116,192,2232,78
201,168,580,88,258,462,2074,985,1095,99,178,2448,219
301,98,545,77,198,153,671,1510,750,50,260,3089,54
401,86,633,129,237,144,778,973,484,196,222,1256,31
501,120,541,115,351,227,868,1700,899,56,267,2856,60
601,123,679,149,129,216,779,1284,846,68,119,2593,14
701,48,566,153,83,63,524,694,339,27,185,2024,13
801,72,441,51,136,87,750,798,277,14,335,4060,17
901,57,853,109,141,65,824,936,289,28,211,1788,9
1001,78,558,166,67,77,533,466,356,11,115,1623,12
1101,87,608,167,81,85,701,673,546,22,246,2422,19
1201,72,722,118,55,84,515,579,442,27,214,1917,17
1301,94,542,115,82,107,661,434,246,40,269,2477,14
1401,64,366,92,172,115,592,709,360,42,200,2970,14
1501,65,712,311,83,72,759,876,406,39,164,1901,5
1601,84,693,163,100,70,607,334,189,18,174,1965,19
1701,43,452,105,103,104,601,652,397,25,99,1318,5
1801,99,770,178,125,220,524,1197,313,14,110,1462,22
1901,68,617,109,119,123,749,607,288,20,312,2856,25
2001,36,624,61,97,99,642,664,460,39,104,1982,14
2101,66,624,146,93,54,645,665,540,47,214,2426,15
2201,82,664,141,111,106,572,753,424,35,171,936,23
2301,71,468,71,77,72,531,453,349,28,117,1459,14
2401,122,752,230,72,41,801,588,378,35,166,2586,21
2501,104,663,118,97,80,385,651,332,24,137,1673,37
2601,85,531,93,83,21,446,306,208,29,77,1864,4
2701,52,611,117,54,30,706,382,486,43,125,1689,12
2801,64,665,143,84,47,574,1010,370,39,96,1203,4
2901,74,904,93,138,143,650,384,202,23,105,1991,13
3001,140,894,192,84,127,1273,565,472,37,90,1630,5
3101,101,673,161,109,99,603,542,310,46,163,1674,23
3201,140,699,169,70,99,822,585,757,34,232,1293,26
3301,74,692,167,41,86,490,444,525,25,95,997,11
3401,99,686,112,113,32,471,1042,698,30,70,1370,6
3501,74,727,84,127,48,594,649,216,39,106,1113,16
3601,97,536,112,106,82,538,523,517,35,291,2047,23
3701,43,459,58,89,128,719,519,346,20,160,2605,20
3801,117,783,232,63,156,595,664,595,40,139,1421,10
3901,136,808,227,76,69,441,454,405,30,152,1293,9
4001,57,383,55,93,150,697,208,62,25,127,1973,10
4101,40,652,79,116,351,671,582,896,46,34,994,3
4201,115,523,99,47,64,390,846,877,62,52,1349,13
4301,43,415,110,63,73,725,213,276,42,93,1403,4
4401,81,558,83,37,17,261,410,205,36,152,1509,20
4501,153,572,91,669,35,402,412,347,46,173,2057,10
4601,39,425,60,85,91,571,389,133,9,100,1149,19
4701,24,378,54,126,102,610,196,129,15,158,2304,21
4801,81,635,99,67,46,617,207,102,23,171,2380,18
4901,74,494,148,59,99,539,373,504,32,150,1552,2
5001,132,502,91,112,95,759,579,414,30,55,1495,7
