position,all
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,5
57,163
58,82
59,111
60,165
61,977
62,18
63,233
64,655
65,70
66,3108
67,24
68,43
69,28
70,4
71,49
72,168
73,11
74,21
75,65
76,126
77,103
78,220
79,53
80,51
81,62
82,558
83,276
84,435
85,39
86,61
87,69
88,73
89,44
90,151
91,577
92,669
93,56
94,471
95,197
96,354
97,822
98,342
99,925
100,1342
101,625
102,146
103,391
104,17
105,530
106,4310
107,31
108,50
109,21
110,302
111,19
112,26
113,23
114,90
115,15
116,29
117,250
118,136
119,426
120,88
121,504
122,79
123,220
124,144
125,218
126,111
127,240
128,52
129,102
130,90
131,12
132,81
133,36
134,28
135,11
136,63
137,587
138,12
139,49
140,1407
141,106
142,38
143,203
144,88
145,381
146,31
147,821
148,41
149,126
150,0
151,179
152,191
153,0
154,18
155,30
156,380
157,268
158,123
159,70
160,994
161,227
162,466
163,38
164,4
165,94
166,16
167,197
168,85
169,134
170,33
171,368
172,882
173,858
174,14663
175,183
176,604
177,454
178,138
179,437
180,1608
181,153
182,76
183,454
184,116
185,252
186,4291
187,1494
188,530
189,2254
190,472
191,144
192,993
193,500
194,44
195,618
196,26
197,86
198,417
199,1964
200,82
201,427
202,331
203,9816
204,1602
205,188
206,1087
207,471
208,128
209,147
210,98234
211,102
212,1103
213,209
214,418
215,117
216,314
217,312
218,514
219,1732
220,90
221,305
222,3810
223,3643
224,361
225,260
226,5
227,64
228,215
229,301
230,458
231,165
232,535
233,553
234,1249
235,248
236,96
237,317
238,93
239,268
240,67
241,2264919
242,417
243,166
244,309
245,490
246,282
247,349
248,162
249,116
250,44
251,73
252,158
253,33
254,203
255,85
256,391
257,286
258,733
259,493
260,156
261,18
262,28
263,373
264,100
265,411
266,1
267,2
268,1
269,383
270,57
271,92
272,281
273,19
274,566
275,201
