position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,0,2,0,0,0,0,0,26,0,0,2,0
101,4,0,0,0,2,2,1,4,1,0,6,0
201,0,1,0,4,3,13,0,47,0,0,8,0
301,0,0,0,0,0,1,2,3,0,0,47,0
401,0,2,0,0,0,0,2,0,0,0,9,0
501,0,0,0,0,0,2,0,2,0,0,16,0
601,0,0,0,0,0,0,0,20,0,0,57,0
701,0,3,0,0,0,1,0,0,0,0,23,0
801,4,0,0,0,0,7,0,0,0,0,26,0
901,0,2,0,0,0,1,6,3,0,0,6,0
1001,0,21,0,0,0,3,19,0,0,0,1,0
1101,0,1,0,0,0,0,2,5,0,0,11,0
1201,0,10,0,0,0,2,0,0,0,0,14,0
1301,0,19,0,0,0,1,0,0,0,0,1,0
1401,0,4,0,0,27,8,4,208,0,2,22,0
1501,0,25,0,0,0,5,0,0,0,0,147,0
1601,0,0,0,0,0,4,0,0,0,0,7,0
1701,0,0,0,0,0,0,3,0,0,0,1,0
1801,0,0,1,0,1,0,6,1,0,1,15,0
1901,0,0,0,0,0,3,0,0,0,0,20,0
2001,0,0,0,0,0,1,1,0,0,0,11,0
2101,0,2,0,0,0,1,2,0,0,0,6,0
2201,0,4,0,6,0,0,0,0,0,0,2,0
2301,0,0,0,0,0,0,1,3,0,0,2,0
2401,0,0,2,0,0,0,0,2,0,0,4,0
2501,0,0,0,0,2,0,3,2,0,2,6,0
2601,0,2,2,4,0,0,5,0,0,0,8,0
2701,0,0,0,0,0,0,0,3,0,0,6,0
2801,0,810327,0,0,0,0,37,1,0,0,2,0
2901,0,4,0,0,0,6,0,0,0,0,6,0
3001,0,0,0,0,0,5,1,0,0,0,5,0
3101,0,0,0,0,0,0,0,0,0,0,12,0
3201,0,0,0,0,0,6,0,0,0,0,626398,0
3301,0,0,0,0,2,0,0,9,0,0,77,0
3401,0,1,0,0,0,0,0,0,0,0,0,0
3501,0,0,0,0,1,1,1,0,0,0,13,0
3601,0,0,0,0,0,3,0,2,0,0,19,0
3701,0,0,0,0,0,0,0,77,0,0,10,0
3801,0,0,0,0,0,35,0,1,0,17,33,0
3901,0,0,0,0,0,0,0,0,0,0,246,0
4001,0,0,0,0,2,1,0,0,0,0,48,0
4101,0,2,0,0,0,0,530058,20,0,0,1,0
4201,0,0,0,0,0,0,0,2,0,0,85,0
4301,0,0,0,0,0,0,0,4,0,0,0,0
4401,0,54,0,0,0,0,1,3,0,0,2,0
4501,0,3,0,0,0,0,1,0,0,0,24,0
4601,0,0,0,0,0,1,0,0,0,0,0,0
4701,0,0,0,0,0,0,0,0,0,0,4,0
4801,0,0,0,0,0,1,0,0,0,0,1,0
4901,0,0,0,0,0,0,1,55,0,0,14,0
5001,0,21,0,0,0,0,15,0,0,0,3,0
5101,0,0,9,0,0,0,1,0,0,0,17340,0
5201,0,2,0,0,1,26,0,0,0,0,14,0
5301,0,0,0,0,1,0,1,0,0,3,5,0
5401,0,17,0,1,0,0,0,0,0,0,3,0
5501,2,3,0,0,0,0,48,1,0,2,5,0
5601,0,0,0,0,0,6,0,0,0,0,1,0
5701,0,0,0,0,0,1,0,0,0,0,0,0
5801,0,11,0,0,0,0,0,38,0,0,5,0
5901,0,0,0,0,0,0,0,2,0,0,19,0
6001,0,2,0,0,0,5,0,0,0,0,14,0
6101,0,0,0,0,0,77,1,2,0,0,22,0
6201,0,3,0,0,0,0,0,0,0,0,2,0
6301,0,0,0,0,0,0,2,34,0,0,85,0
6401,0,1,4,0,0,34,0,3,0,0,16,0
6501,0,0,0,0,0,0,5,0,0,0,22,0
6601,0,7,0,0,0,4,0,0,0,0,13,0
6701,0,5,0,0,0,0,0,0,0,0,58,0
6801,2,4,2,0,0,0,0,0,0,0,11,0
6901,0,0,0,0,2,1,0,0,0,8,3,0
7001,0,0,0,0,0,1,0,0,0,0,1,0
7101,0,1,0,0,0,4,0,0,0,3,24,0
7201,0,0,0,0,0,5,52,0,0,0,9,0
7301,0,0,0,0,0,1,0,13,0,0,0,0
7401,0,0,0,0,0,2,1,0,0,0,2,0
7501,0,0,0,0,0,0,0,0,0,0,2,0
7601,0,0,0,0,0,1,0,29,0,0,31,0
7701,0,1,0,0,0,0,0,39,0,0,5,0
7801,0,0,0,0,0,0,0,0,0,0,219,0
7901,0,2,0,0,0,0,0,0,0,0,8,0
8001,0,68,0,0,0,0,1,2,0,0,1,0
8101,0,0,0,0,0,0,3,6,0,0,2,0
8201,0,0,0,0,0,0,0,0,0,3,10,0
8301,0,2,0,0,0,0,1,0,0,37,9,0
8401,0,0,0,0,0,0,0,1,0,0,0,0
8501,0,3,0,0,0,0,0,0,0,0,4,0
8601,0,3,0,0,0,1,0,1,0,0,17,12
8701,0,0,0,0,25,0,0,0,0,0,9,0
8801,0,0,0,1,0,0,0,14,0,0,4,0
8901,0,0,0,0,0,0,1,1,0,0,12,0
9001,0,0,0,0,0,0,0,2,0,0,2,0
9101,0,0,0,0,0,2,2,38,0,0,2,1
9201,0,468,0,0,0,0,0,0,0,0,2,0
9301,0,0,0,0,0,2,0,0,0,0,38,0
