Month,Total,Top 1,Top 2,Top 3,Top 4,Top 5
2019-12,20,B (17 / 85.0%),A (2 / 10.0%),unclassifiable (1 / 5.0%),-,-
2020-01,316,B (122 / 38.6%),A (76 / 24.1%),BA.1 (51 / 16.1%),B.1 (17 / 5.4%),BA.1.1 (9 / 2.8%)
2020-02,792,B (323 / 40.8%),B.1 (80 / 10.1%),A.1 (72 / 9.1%),A (68 / 8.6%),B.43 (37 / 4.7%)
2020-03,30020,"B.1 (11,468 / 38.2%)","B.1.1 (3,644 / 12.1%)","A.1 (2,131 / 7.1%)","B (1,498 / 5.0%)","B.40 (1,446 / 4.8%)"
2020-04,35547,"B.1 (11,724 / 33.0%)","B.1.1 (6,882 / 19.4%)",unclassifiable (884 / 2.5%),B.40 (698 / 2.0%),B (697 / 2.0%)
2020-05,18970,"B.1 (5,130 / 27.0%)","B.1.1 (3,003 / 15.8%)",unclassifiable (740 / 3.9%),B.1.1.369 (596 / 3.1%),B.1.93 (304 / 1.6%)
2020-06,17482,"B.1 (2,943 / 16.8%)","B.1.1 (2,221 / 12.7%)",B.1.1.291 (593 / 3.4%),B.1.369 (394 / 2.3%),D.2 (388 / 2.2%)
2020-07,20094,"D.2 (5,861 / 29.2%)","B.1 (1,946 / 9.7%)","B.1.2 (1,337 / 6.7%)",B.1.1 (917 / 4.6%),B.1.240 (653 / 3.2%)
2020-08,21938,"D.2 (4,076 / 18.6%)","B.1 (1,652 / 7.5%)","B.1.2 (1,170 / 5.3%)",B.1.160 (918 / 4.2%),B.1.177 (872 / 4.0%)
2020-09,32031,"B.1.177 (4,533 / 14.2%)","B.1.2 (2,333 / 7.3%)","B.1.160 (1,781 / 5.6%)","B.1 (1,575 / 4.9%)","B.1.1.37 (1,272 / 4.0%)"
2020-10,54748,"B.1.177 (11,031 / 20.1%)","B.1.2 (4,537 / 8.3%)","B.1.160 (2,371 / 4.3%)","B.1 (1,918 / 3.5%)","B.1.177.45 (1,674 / 3.1%)"
2020-11,67743,"B.1.177 (14,863 / 21.9%)","B.1.2 (9,132 / 13.5%)","B.1.1.7 (2,472 / 3.6%)","B.1 (2,061 / 3.0%)","B.1.160 (2,025 / 3.0%)"
2020-12,86717,"B.1.1.7 (19,040 / 22.0%)","B.1.2 (12,326 / 14.2%)","B.1.177 (11,922 / 13.7%)","B.1.429 (2,614 / 3.0%)","B.1 (2,497 / 2.9%)"
2021-01,141438,"B.1.1.7 (67,625 / 47.8%)","B.1.2 (17,391 / 12.3%)","B.1.177 (7,856 / 5.6%)","B.1.429 (4,768 / 3.4%)","unclassifiable (4,523 / 3.2%)"
2021-02,153573,"B.1.1.7 (81,643 / 53.2%)","B.1.2 (18,078 / 11.8%)","B.1.429 (7,726 / 5.0%)","B.1.427 (3,666 / 2.4%)","unclassifiable (3,531 / 2.3%)"
2021-03,227375,"B.1.1.7 (147,830 / 65.0%)","B.1.2 (13,658 / 6.0%)","B.1.526 (11,738 / 5.2%)","B.1.429 (10,479 / 4.6%)","B.1.1.519 (4,914 / 2.2%)"
2021-04,221669,"B.1.1.7 (161,571 / 72.9%)","B.1.526 (14,553 / 6.6%)","P.1 (5,504 / 2.5%)","B.1.429 (4,974 / 2.2%)","B.1.637 (4,324 / 2.0%)"
2021-05,160191,"B.1.1.7 (100,339 / 62.6%)","AY.4 (16,729 / 10.4%)","B.1.526 (5,678 / 3.5%)","P.1 (5,429 / 3.4%)","B.1.617.2 (4,502 / 2.8%)"
2021-06,168554,"AY.4 (72,391 / 42.9%)","B.1.1.7 (30,734 / 18.2%)","B.1.617.2 (6,835 / 4.1%)","AY.9 (5,243 / 3.1%)","AY.44 (5,067 / 3.0%)"
2021-07,341848,"AY.4 (109,182 / 31.9%)","AY.44 (27,885 / 8.2%)","AY.103 (17,977 / 5.3%)","B.1.617.2 (13,819 / 4.0%)","AY.25 (12,915 / 3.8%)"
2021-08,513599,"AY.4 (125,596 / 24.5%)","AY.44 (46,295 / 9.0%)","AY.103 (42,151 / 8.2%)","AY.3 (29,008 / 5.6%)","AY.25 (26,049 / 5.1%)"
2021-09,488172,"AY.4 (132,022 / 27.0%)","AY.103 (44,472 / 9.1%)","AY.44 (38,456 / 7.9%)","AY.3 (29,797 / 6.1%)","AY.25 (23,874 / 4.9%)"
2021-10,480033,"AY.4 (132,669 / 27.6%)","AY.103 (45,568 / 9.5%)","AY.44 (35,427 / 7.4%)","AY.3 (25,963 / 5.4%)","AY.25 (20,866 / 4.3%)"
2021-11,603950,"AY.4 (151,703 / 25.1%)","AY.103 (56,473 / 9.4%)","AY.44 (37,742 / 6.2%)","AY.43 (37,269 / 6.2%)","AY.4.2 (32,375 / 5.4%)"
2021-12,716946,"BA.1 (95,427 / 13.3%)","BA.1.1 (76,588 / 10.7%)","AY.4 (76,000 / 10.6%)","BA.1.17.2 (56,828 / 7.9%)","BA.1.15 (39,388 / 5.5%)"
2022-01,815401,"BA.1.1 (290,816 / 35.7%)","BA.1 (154,104 / 18.9%)","BA.1.17.2 (90,047 / 11.0%)","BA.1.15 (58,759 / 7.2%)","BA.2 (32,143 / 3.9%)"
2022-02,622802,"BA.1.1 (242,645 / 39.0%)","BA.2 (141,804 / 22.8%)","BA.1 (56,215 / 9.0%)","BA.1.17.2 (27,562 / 4.4%)","BA.2.9 (21,289 / 3.4%)"
2022-03,570100,"BA.2 (348,256 / 61.1%)","BA.1.1 (65,494 / 11.5%)","BA.2.9 (49,569 / 8.7%)","BA.2.3 (17,570 / 3.1%)","BA.2.10 (11,806 / 2.1%)"
2022-04,283401,"BA.2 (173,694 / 61.3%)","BA.2.9 (31,361 / 11.1%)","BA.2.12.1 (21,327 / 7.5%)","BA.2.3 (12,654 / 4.5%)","BA.1.1 (6,726 / 2.4%)"
2022-05,212127,"BA.2 (76,660 / 36.1%)","BA.2.12.1 (72,895 / 34.4%)","BA.2.9 (15,830 / 7.5%)","BA.2.3 (7,440 / 3.5%)","BA.4.1 (2,512 / 1.2%)"
2022-06,225539,"BA.2.12.1 (60,145 / 26.7%)","BA.5.1 (20,590 / 9.1%)","BA.2 (18,733 / 8.3%)","BA.5.2.1 (14,774 / 6.6%)","BA.4.1 (12,618 / 5.6%)"
2022-07,241967,"BA.5.2.1 (36,570 / 15.1%)","BA.5.1 (31,521 / 13.0%)","BA.5.2 (20,599 / 8.5%)","BA.5.5 (14,324 / 5.9%)","BA.2.12.1 (13,289 / 5.5%)"
2022-08,166515,"BA.5.2.1 (30,657 / 18.4%)","BA.5.2 (20,572 / 12.4%)","BA.5.1 (18,799 / 11.3%)","BA.5.5 (7,563 / 4.5%)","BA.4.6 (7,376 / 4.4%)"
2022-09,131867,"BA.5.2.1 (21,561 / 16.4%)","BA.5.2 (19,012 / 14.4%)","BA.5.1 (12,618 / 9.6%)","BA.4.6 (8,140 / 6.2%)","BE.1.1 (3,310 / 2.5%)"
2022-10,125542,"BA.5.2 (14,877 / 11.9%)","BA.5.2.1 (14,114 / 11.2%)","BA.5.1 (8,129 / 6.5%)","BF.7 (6,105 / 4.9%)","BA.4.6 (5,216 / 4.2%)"
2022-11,105378,"BQ.1.1 (13,046 / 12.4%)","BQ.1 (7,008 / 6.7%)","BA.5.2.1 (4,851 / 4.6%)","BA.5.2 (4,563 / 4.3%)","BF.7 (4,203 / 4.0%)"
2022-12,136362,"BQ.1.1 (25,534 / 18.7%)","BQ.1 (8,980 / 6.6%)","BF.7 (3,577 / 2.6%)","XBB.1.5 (3,130 / 2.3%)","CH.1.1 (2,604 / 1.9%)"
2023-01,92939,"XBB.1.5 (16,019 / 17.2%)","BQ.1.1 (13,701 / 14.7%)","BQ.1 (3,535 / 3.8%)","CH.1.1 (2,950 / 3.2%)","BF.7 (1,252 / 1.3%)"
2023-02,78630,"XBB.1.5 (25,831 / 32.9%)","BQ.1.1 (4,786 / 6.1%)","CH.1.1 (2,582 / 3.3%)","XBB.1.5.7 (1,404 / 1.8%)","CH.1.1.1 (1,200 / 1.5%)"
2023-03,66670,"XBB.1.5 (24,104 / 36.2%)","XBB.1.5.7 (1,527 / 2.3%)","XBB.1.5.13 (1,255 / 1.9%)","CH.1.1 (1,180 / 1.8%)","BQ.1.1 (1,139 / 1.7%)"
2023-04,33907,"XBB.1.5 (11,807 / 34.8%)",XBB.1.16 (981 / 2.9%),XBB.1.9.1 (832 / 2.5%),XBB.1.5.13 (615 / 1.8%),XBB.1.9.2 (515 / 1.5%)
2023-05,21434,"XBB.1.5 (4,656 / 21.7%)","XBB.1.16 (1,576 / 7.4%)",XBB.1.9.1 (613 / 2.9%),XBB.1.16.1 (563 / 2.6%),FL.2.3 (455 / 2.1%)
2023-06,10978,"XBB.1.5 (1,207 / 11.0%)","XBB.1.16 (1,018 / 9.3%)",XBB.1.16.1 (444 / 4.0%),XBB.1.9.1 (265 / 2.4%),FU.1 (197 / 1.8%)
2023-07,14131,"XBB.1.16 (1,177 / 8.3%)",XBB.1.5 (616 / 4.4%),XBB.1.16.6 (492 / 3.5%),XBB.1.16.1 (482 / 3.4%),EG.5.1.1 (477 / 3.4%)
2023-08,31650,"XBB.1.16 (1,987 / 6.3%)","XBB.1.16.6 (1,979 / 6.3%)","FL.1.5.1 (1,861 / 5.9%)","EG.5.1.1 (1,531 / 4.8%)","EG.5.1 (1,137 / 3.6%)"
2023-09,35546,"FL.1.5.1 (2,881 / 8.1%)","HV.1 (2,424 / 6.8%)","XBB.1.16.6 (2,408 / 6.8%)","EG.5.1.1 (2,005 / 5.6%)","EG.5.1.3 (1,302 / 3.7%)"
2023-10,31514,"HV.1 (4,013 / 12.7%)","FL.1.5.1 (1,886 / 6.0%)","EG.5.1.1 (1,611 / 5.1%)","XBB.1.16.6 (1,430 / 4.5%)","XBB.1.16.11 (1,148 / 3.6%)"
2023-11,30746,"HV.1 (5,904 / 19.2%)","JN.1 (1,440 / 4.7%)","FL.1.5.1 (1,166 / 3.8%)","HK.3 (1,075 / 3.5%)",XBB.1.16.6 (915 / 3.0%)
2023-12,39524,"JN.1 (7,791 / 19.7%)","HV.1 (4,535 / 11.5%)","JN.1.4 (3,781 / 9.6%)","JN.1.1 (2,078 / 5.3%)",BA.2.86.1 (940 / 2.4%)
2024-01,31498,"JN.1 (10,098 / 32.1%)","JN.1.4 (4,645 / 14.7%)","JN.1.1 (1,628 / 5.2%)","JN.1.4.5 (1,122 / 3.6%)",HV.1 (980 / 3.1%)
2024-02,19456,"JN.1 (5,795 / 29.8%)","JN.1.4 (3,182 / 16.4%)",JN.1.8.1 (797 / 4.1%),JN.1.7 (735 / 3.8%),JN.1.4.5 (689 / 3.5%)
2024-03,8768,"JN.1 (1,853 / 21.1%)","JN.1.4 (1,143 / 13.0%)",JN.1.7 (727 / 8.3%),JN.1.8.1 (414 / 4.7%),JN.1.4.5 (243 / 2.8%)
2024-04,6799,JN.1.7 (595 / 8.8%),JN.1 (548 / 8.1%),KP.2 (490 / 7.2%),JN.1.4 (375 / 5.5%),JN.1.8.1 (221 / 3.3%)
