position,all
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,15
57,124
58,49
59,114
60,47
61,534
62,28
63,79
64,346
65,78
66,746
67,25
68,56
69,56
70,107
71,172
72,750
73,20
74,26
75,73
76,239
77,112
78,275
79,61
80,73
81,75
82,108
83,112
84,197
85,43
86,99
87,48
88,97
89,44
90,87
91,207
92,278
93,53
94,251
95,114
96,229
97,106
98,177
99,88
100,418
101,340
102,101
103,186
104,38
105,303
106,1168
107,54
108,52
109,39
110,156
111,48
112,33
113,36
114,88
115,46
116,58
117,160
118,57
119,235
120,96
121,174
122,77
123,116
124,120
125,105
126,91
127,285
128,21
129,131
130,71
131,15
132,61
133,41
134,27
135,27
136,55
137,149
138,25
139,49
140,509
141,70
142,43
143,112
144,89
145,50
146,42
147,451
148,42
149,115
150,0
151,161
152,169
153,0
154,39
155,73
156,125
157,180
158,94
159,92
160,370
161,34
162,224
163,57
164,12
165,102
166,22
167,221
168,85
169,101
170,63
171,176
172,74
173,233
174,1072
175,81
176,232
177,103
178,132
179,101
180,190
181,93
182,64
183,154
184,78
185,259
186,1065
187,132
188,142
189,209
190,198
191,99
192,133
193,288
194,68
195,64
196,41
197,113
198,207
199,316
200,59
201,150
202,109
203,1636
204,698
205,102
206,164
207,230
208,281
209,177
210,2733
211,78
212,111
213,334
214,143
215,91
216,195
217,177
218,251
219,684
220,120
221,207
222,1162
223,166
224,205
225,172
226,17
227,77
228,142
229,83
230,262
231,124
232,196
233,225
234,127
235,87
236,140
237,203
238,63
239,137
240,79
241,3958
242,316
243,138
244,166
245,288
246,287
247,274
248,80
249,51
250,72
251,80
252,244
253,46
254,153
255,151
256,231
257,164
258,91
259,121
260,141
261,57
262,35
263,67
264,113
265,117
266,2
267,3
268,1
269,113
270,91
271,96
272,113
273,59
274,263
275,152
276,30
277,150
278,169
