YYMM,AY.4,BA.2,BA.1.1,B.1.1.7,BA.1,AY.103,AY.44,BA.1.17.2,BA.2.12.1,AY.3,BA.2.9,AY.43,BA.5.2.1,BA.1.15,AY.25,B.1.617.2,BA.5.1,AY.122,AY.4.2,BA.5.2,XBB.1.5,B.1.2,unclassifiable,AY.100,BQ.1.1,AY.25.1,BA.1.1.18,B.1.177,B.1,AY.5,BA.2.3,BA.1.15.1,AY.98,AY.39,BA.5.5,B.1.526,AY.26,AY.47,BA.4.1,B.1.429,BE.1.1,AY.119,AY.120,AY.4.2.2,BA.1.18,BA.4.6,AY.6,BA.2.10,JN.1,BA.1.17,BA.1.20,BA.1.1.1,BQ.1,B.1.1,AY.126,BA.5.6,AY.20,BF.7,P.1,BA.4,AY.9.2,AY.4.2.1,HV.1,AY.118,AY.75,BA.1.1.14,BA.2.23,BA.1.1.15,AY.9,BA.1.16,AY.46.6,AY.121,BA.2.1,B.1.160,B.1.427,BE.1,BA.5,AY.98.1,JN.1.4,AY.3.1,AY.46.5,BF.5,BF.10,B.1.1.519,AY.117,B.1.637,AY.4.6,AY.125,AY.42,D.2,AY.127,AY.14,AY.54,BA.5.2.9,CH.1.1,AY.129,KP.3.1.1,AY.119.2,BA.1.1.13,AY.33,B.1.243,XBB.1.16,AY.36,B.1.351,BA.5.2.20,AY.7.1,FL.1.5.1,BA.5.1.22,AY.113,XBB.1.16.6,BA.5.1.30,AY.111,BA.2.18,BA.2.8,EG.5.1.1,BA.5.1.1,BF.26,B,AY.39.1,XBB.1,BA.5.1.23,BA.1.1.2,BA.5.1.10,BD.1,B.1.258,B.1.1.529,KP.2.3,B.1.177.7,AY.43.6,BA.2.37,BA.5.1.3,Q.3,BF.1,BE.3,AY.34,AY.46,BA.5.2.6,AY.7,BA.5.2.21,B.1.1.37,AY.13,BA.2.36,JN.1.1,BF.28,AY.46.4,BQ.1.2,B.1.177.4,BA.5.2.3,AY.99.2,BQ.1.1.4,BA.5.9,B.1.621,AY.39.1.1,AD.2,BA.1.1.12,B.1.234,XBB.1.16.11,AY.4.8,AY.114,BF.11,BF.27,EG.5.1,BQ.1.1.20,BA.4.4,BF.21,BA.2.12,BA.5.1.5,EG.5.1.3,XBB.1.5.7,XBB.1.5.13,B.1.240,BQ.1.8,BQ.1.12,B.1.1.222,XBB.1.9.1,B.1.177.57,B.1.369,AY.116.1,AY.34.1,BE.1.1.2,BA.5.1.2,BA.1.1.11,KP.3.1,BA.5.1.24,BQ.1.1.3,P.1.17,B.1.221,CH.1.1.1,AY.4.2.3,BA.2.7,BN.1.3,BF.8,BQ.1.1.18,AY.4.5,AY.110,AY.120.1,AY.107,BA.1.14,HK.3,BN.1.3.1,JN.1.7,DV.6,R.1,BQ.1.10,BA.5.8,A.1,P.1.10,JN.1.4.5,AY.43.4,BQ.1.14,XBB.1.16.1,B.1.1.311,BA.1.12,BF.7.5,B.1.575,EG.5.1.4,KP.2,BQ.1.11,BA.2.10.1,BF.7.4,JD.1.1,BA.4.2,B.1.525,XBB.1.16.15,BA.2.86.1,BA.5.3.1,XE,KP.3.3,AY.2,BA.5.1.25,EG.5.1.6,AY.1,B.1.177.45,B.1.177.81,JG.3,BQ.1.1.5,BN.1.5,BF.14,BQ.1.3.2,BA.5.2.35,B.1.177.86,B.1.311,BN.1,AY.112,BA.5.2.34,BQ.1.18,BA.1.19,BA.4.6.5,LB.1.7,BF.4,XBB.1.5.15,B.1.595,B.1.1.307,BA.5.2.13,JN.1.8.1,BA.5.11,BQ.1.1.2,B.40,GJ.1.2,BA.1.10,XBB.1.5.18,B.1.1.369,XBB.1.9.2,BA.2.13,BQ.1.5,BQ.1.1.8,C.37,AY.4.3,BQ.1.1.1,B.1.36.17,AY.124,B.1.623,XBB.1.5.49,BA.5.3.3,B.1.400,B.1.1.1,AY.36.1,BA.5.3,BA.2.22,FD.2,XBB.1.15,BA.1.1.4,AY.37,BF.24,AY.90,BQ.1.1.32,AY.67,AY.121.1,BA.5.1.6,BA.2.56,AY.5.3,B.1.561,BQ.1.1.69,XBB.1.5.1,BQ.1.1.7,AY.4.9,BA.5.1.27,B.1.1.318,BF.7.4.1,KP.2.2,DY.3,BA.4.1.1,BA.1.15.2,BQ.1.23,B.1.232,AY.43.8,B.1.517,AY.8,BE.1.4,BA.2.3.17,XBF,BE.1.1.1,FL.3,AY.64,B.1.1.434,BA.5.3.2,BN.1.2,AY.23,B.1.177.44,B.1.177.16,FL.4,BA.5.2.22,BA.2.5,XBB.1.5.17,XBB.1.5.20,B.1.177.54,CH.1.1.2,P.2,AY.62,BQ.1.13,B.1.177.15,BA.1.21,B.1.1.39,BF.7.6,BA.1.1.9,JN.1.39,B.1.177.65,AY.4.1,LB.1,BA.2.38,BQ.1.13.1,BA.5.1.18,DN.2,HF.1,BA.2.75.2,AY.48,BA.5.2.26,XBB.1.5.32,XBB.1.5.10,BA.2.41,AY.4.10,EG.6.1,P.1.15,GE.1,BA.5.1.34,BA.2.9.3,AY.41,BA.5.5.1,BA.2.65,B.1.177.56,AY.57,JF.1.1,BA.5.2.28,AY.120.2.1,XBB.2.3,BA.2.14,B.1.596,B.1.177.8,EG.1,BQ.1.1.10,BF.6,B.1.177.87,BA.4.1.8,BA.2.48,AY.35,B.1.1.372,AY.16,AY.10,AY.29,XBB.1.5.52,XBB.1.5.48,AY.4.15,AY.65,B.1.565,B.1.177.17,AY.4.4,KP.1.1.3,B.1.582,BF.13,KP.3,XBB.1.5.16,B.1.1.317,BA.1.13,JN.2,XBB.1.9,AY.84,XBB.1.5.33,KP.3.2,AY.46.1,XBB.1.5.12,BA.1.1.10,B.1.241,BA.5.2.27,XBB.1.5.24,XBB.1.5.4,BQ.1.1.6,FU.1,EF.1,BQ.1.1.24,BA.5.1.12,XB,AY.45,GS.4.1,BK.1,BQ.1.1.41,B.1.258.17,B.1.177.10,B.1.36,AY.109,A,B.1.609,CL.1,BQ.1.1.23,BA.5.2.7,AY.80,GK.1.1,B.1.621.1,BA.5.2.2,XBB.1.5.31,AY.25.3,B.1.1.291,B.1.177.11,XBB.1.5.51,XBB.1.5.46,LB.1.3,BA.2.47,EF.1.1,BF.7.20,B.1.160.16,B.1.110.3,B.1.1.279,BA.5.2.31,BN.1.4.4,HK.6,AY.70,JF.4,BA.2.3.20,XBB,AY.122.3,BG.5,AY.32,KP.3.2.3,BA.5.2.23,BQ.1.25,B.1.177.6,BQ.1.1.22,AY.5.4,AY.4.7,BA.5.2.18,B.1.93,JN.1.13.1,BF.2,JN.1.9,KP.3.1.4,BQ.1.1.15,B.1.577,XBB.1.5.21,BQ.1.1.51,B.1.426,BQ.1.15,FL.5,XBB.1.5.37,KP.1.1.1,DU.1,B.1.1.316,XBB.1.5.11
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15913,38,2447,12182,3931,42,19,2619,0,30,0,820,0,696,27,1316,0,239,1524,0,0,368,2365,16,0,25,71,1756,968,954,4,647,688,18,0,7,4,6,0,4,0,11,620,545,225,0,536,13,0,614,108,152,0,600,56,0,2,0,19,0,73,308,0,1,5,71,0,137,496,209,22,62,0,254,0,0,0,27,0,6,246,0,0,5,4,4,4,23,16,392,100,0,0,0,0,2,0,0,40,32,12,0,73,167,0,0,0,0,2,0,0,165,0,0,0,0,0,52,6,0,0,3,0,7,153,47,0,81,1,0,0,0,0,0,36,29,0,107,0,82,0,0,0,0,5,0,149,0,3,0,0,3,1,48,36,12,0,98,1,0,0,0,0,0,0,0,0,0,0,0,76,0,0,3,0,120,43,0,26,0,0,24,0,0,0,6,22,0,33,0,0,0,0,19,1,0,5,36,0,0,0,0,2,0,0,27,0,0,1,0,0,105,17,0,3,0,0,0,1,0,0,0,72,0,0,0,0,0,0,0,0,9,3,60,0,0,0,0,0,0,1,1,0,2,0,0,19,0,0,0,0,18,25,0,0,0,0,43,0,29,0,9,0,0,0,0,0,31,0,51,11,0,0,0,13,19,0,0,0,0,0,3,3,0,31,0,0,18,0,0,0,3,0,0,0,17,0,41,0,0,0,0,1,0,0,11,0,35,0,0,0,0,0,0,3,0,0,0,117,55,0,0,0,0,0,80,0,10,0,0,51,12,199,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,37,3,0,0,0,0,0,3,30,0,0,0,78,0,0,0,14,0,92,1,0,0,0,1,36,27,2,0,18,0,0,0,3,35,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,18,137,6,20,0,0,0,0,1,0,4,0,0,2,0,28,0,0,0,0,0,0,16,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0,3,0,0,19,0,0,0,0,0,3,0,0,2,0,0,0,0,0,9,0
2001,0,0,9,0,51,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,241,0,0,0,0,5,11463,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,1442,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,465,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,884,0,0,0,0,1,11718,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6887,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,702,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,7,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,156,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
2005,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,47,740,0,0,0,0,2,5120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,53,0,0,0,597,0,0,0,0,0,0,0,0,1,0,0,0,11,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,66,58,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,266,0,0,0,0,0,1,0
2006,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,306,306,0,0,0,0,9,2948,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,388,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,14,0,3,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,10,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,25,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,8,1,0,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,58,52,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,40,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,16,0,0,180,0,0,0,0,0,0,0
2007,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1336,191,0,0,1,0,26,1945,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,14,0,1,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,6,0,0,0,224,0,0,0,0,0,0,0,15,0,0,0,0,24,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,30,0,0,0,124,0,0,0,3,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,14,40,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,57,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0,0,36,0,0,0,0,0,0,0
2008,2,0,0,0,0,0,2,0,2,1,0,9,0,0,3,9,0,6,0,0,0,1164,227,2,0,0,0,873,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,918,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,4077,0,0,0,0,0,0,0,0,0,0,314,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,283,1,0,78,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,41,0,83,495,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,151,94,0,0,0,0,5,0,0,0,99,0,0,0,0,0,0,0,151,2,0,0,0,143,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,28,0,10,0,0,0,0,0,0,0,13,0,0,0,44,0,0,0,0,0,0,0,0,6,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,71,0,0,0,0,0,0,0,127,12,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,3,24,0,0,0,0,0,0,0,0,0,69,14,0,0,0,0,0,0,0,54,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,0,0,242,0,0,0,0,0,1,0
