Month,AY.103,AY.25,AY.3,AY.4,AY.43,AY.44,B.1.1.7,BA.1,BA.1.1,BA.1.15,BA.1.17.2,BA.2,BA.2.12.1,BA.2.9,BA.5.2.1
2020-01,0,0,0,0,0,0,0,51,9,1,1,0,0,0,0
2020-02,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020-03,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2020-04,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2020-05,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0
2020-06,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2020-07,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
2020-08,0,3,1,2,9,2,0,0,0,0,0,0,2,0,0
2020-09,0,0,1,1,10,1,6,2,0,0,0,1,1,0,0
2020-10,3,3,0,10,18,4,89,0,0,0,0,1,2,0,0
2020-11,1,0,0,3,1,1,2472,3,17,1,0,0,0,1,0
2020-12,1,0,0,2,2,2,19040,3,21,0,1,7,0,2,0
2021-01,5,2,2,23,11,2,67625,27,41,9,10,6,1,0,0
2021-02,3,4,1,16,17,1,81643,4,7,1,2,0,0,1,0
2021-03,1,2,0,14,15,3,147830,2,4,0,1,2,0,0,0
2021-04,5,18,12,231,7,66,161571,1,0,1,0,2,0,0,0
2021-05,58,235,65,16729,1,694,100339,3,1,0,0,0,1,0,0
2021-06,1345,1491,1354,72391,104,5067,30734,0,0,0,0,0,0,0,0
2021-07,17977,12915,12531,109182,9007,27885,7642,0,2,1,1,1,1,0,0
2021-08,42151,26049,29008,125596,16605,46295,1538,8,68,5,4,1,0,0,0
2021-09,44472,23874,29797,132022,16802,38456,119,1,11,2,0,5,1,0,0
2021-10,45568,20866,25963,132669,19066,35427,33,9,8,3,1,2,0,0,0
2021-11,56473,21757,26488,151703,37269,37742,43,381,92,55,114,4,1,0,2
2021-12,37049,13234,15957,76000,27336,21499,15,95427,76588,39388,56828,1041,2,447,3
2022-01,1747,720,789,2591,2686,1012,11,154104,290816,58759,90047,32143,44,7393,1
2022-02,43,31,32,111,119,35,9,56215,242645,21141,27562,141804,26,21289,1
2022-03,15,3,13,44,7,8,6,7101,65494,2787,3392,348256,1679,49569,4
2022-04,2,6,3,1,4,2,1,360,6726,202,162,173694,21327,31361,43
2022-05,4,0,0,1,2,2,11,64,555,28,26,76660,72895,15830,898
2022-06,0,0,0,3,1,1,0,27,67,8,7,18733,60145,4070,14774
2022-07,0,1,0,5,0,0,2,11,42,8,5,2059,13289,397,36570
2022-08,0,0,0,2,0,0,0,6,40,1,5,241,1232,34,30657
2022-09,0,0,0,0,0,0,2,7,17,2,4,114,98,7,21561
2022-10,0,0,0,0,0,0,1,9,16,1,5,124,16,8,14114
2022-11,0,0,0,0,0,1,1,1,9,3,5,67,10,1,4851
2022-12,1,0,1,0,0,1,0,8,30,2,1,85,5,3,1621
2023-01,0,0,0,0,0,0,0,4,22,3,0,69,5,3,351
2023-02,1,0,0,0,0,0,0,1,3,0,0,96,2,0,72
2023-03,0,0,0,0,0,0,0,0,5,0,0,37,6,0,19
2023-04,0,0,0,1,0,0,3,3,6,0,1,30,4,1,7
2023-05,0,0,0,0,0,0,0,0,1,0,0,5,1,1,3
2023-06,0,0,0,0,0,0,0,0,1,0,1,2,2,0,5
2023-07,0,0,0,0,0,0,0,1,0,0,0,5,1,0,2
2023-08,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2
2023-09,0,0,0,0,0,0,0,0,3,0,0,6,1,0,1
2023-10,0,0,0,0,0,0,1,1,1,0,0,13,0,0,0
2023-11,0,0,1,0,0,0,1,0,0,0,0,21,1,0,0
2023-12,0,0,0,0,0,0,1,0,0,0,0,62,0,0,0
2024-01,0,0,0,0,0,0,0,0,4,0,0,41,0,0,0
2024-02,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1
2024-03,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0
2024-04,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2024-05,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
2024-06,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0
2024-07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2024-08,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
