position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,5,4,0,27,23,33,22,22,0,9,201,2
101,13,83,5,6,2,53,58,75,2,4,336,2
201,52,171,5,16,36,504,85,133,5,13,512,53
301,2,48,43,11,4,84,215,54,1,9,307,34
401,1,50,6,8,24,23,79,112,36,8,67,7
501,7,45,3,18,31,74,109,107,5,6,273,1
601,2,30,5,5,10,36,87,202,2,4,222,0
701,0,30,5,4,1,35,145,31,1,11,228,1
801,1,14,3,6,4,70,52,15,0,28,579,0
901,2,72,9,19,25,55,166,39,1,8,206,0
1001,2,65,6,1,0,33,19,88,0,5,246,1
1101,2,59,16,5,1,53,57,35,1,22,365,32
1201,3,53,3,63,46,34,49,27,1,22,173,0
1301,0,97,5,8,4,362,28,3,1,20,275,0
1401,3,9,7,5,5,32,50,22,4,3,397,0
1501,0,74,102,0,6,39,95,114,0,11,247,0
1601,0,60,3,9,31,58,17,9,2,5,300,1
1701,1,23,4,6,3,63,45,38,1,4,118,0
1801,4,73,9,33,56,32,211,26,0,2,123,1
1901,1,49,8,4,7,47,43,56,0,32,353,0
2001,0,64,4,5,24,25,114,113,0,10,199,0
2101,2,44,3,0,3,49,46,30,2,5,439,1
2201,1,35,5,3,15,25,36,42,0,64,76,3
2301,18,26,3,3,3,30,86,104,0,14,226,0
2401,12,41,23,9,1,223,45,56,1,138,400,1
2501,8,80,5,5,5,27,45,28,0,11,176,6
2601,9,66,21,2,1,51,7,7,1,2,157,0
2701,2,77,0,3,1,144,23,33,0,5,138,0
2801,2,98,6,4,1,56,50,37,2,3,170,0
2901,3,108,6,8,6,57,40,12,0,2,201,0
3001,5,80,7,1,1,102,43,132,1,6,720,0
3101,5,23,17,52,5,47,40,29,4,10,230,1
3201,8,40,3,4,10,123,23,76,1,45,199,5
3301,3,46,22,0,3,40,30,47,0,5,96,1
3401,2,188,1,4,8,32,172,116,1,3,176,0
3501,14,112,4,2,1,25,37,9,4,9,187,1
3601,3,32,4,5,4,45,53,49,5,21,199,0
3701,2,27,1,10,1,32,48,32,0,3,233,4
3801,12,47,16,3,9,39,73,63,0,10,133,0
3901,2,83,7,1,13,24,69,29,0,19,384,0
4001,3,23,2,1,6,63,21,1,9,8,248,0
4101,0,53,13,2,68,177,92,48,2,1,85,0
4201,19,52,3,2,2,42,82,121,4,1,179,1
4301,2,14,3,1,5,92,41,13,6,6,102,0
4401,0,53,37,0,11,10,14,7,2,5,136,0
4501,21,29,5,82,1,26,53,22,1,53,341,0
4601,1,52,8,5,7,24,23,4,1,2,90,0
4701,0,26,2,8,18,30,5,23,1,94,251,1
4801,0,136,11,3,1,44,6,3,0,3,388,0
4901,36,22,4,1,8,57,51,35,1,34,717,0
5001,11,19,3,4,2,80,132,21,2,0,202,0
5101,0,33,12,5,4,28,23,16,0,12,427,0
5201,4,9,5,13,1,22,15,29,0,0,225,14
5301,0,20,19,30,21,39,84,37,1,39,158,0
5401,1,19,8,3,1,18,37,7,0,1,156,1
5501,7,75,12,2,3,22,42,241,0,4,207,1
5601,1,47,2,0,0,20,20,13,0,6,187,0
5701,3,20,8,6,0,24,42,0,0,1,148,0
5801,1,29,6,0,0,16,21,40,1,340,462,2
5901,6,117,7,4,6,259,68,17,5,0,136,3
6001,3,95,3,5,4,41,17,9,1,17,185,0
6101,0,15,1,3,4,103,13,8,0,15,122,0
6201,1,61,1,2,0,118,26,2,0,14,214,1
6301,1,21,11,3,11,127,54,45,2,69,323,1
6401,3,139,3,2,3,254,71,59,0,8,193,0
6501,3,42,3,4,0,93,81,15,1,4,327,1
6601,0,97,12,4,4,35,54,38,1,14,294,0
6701,17,37,3,0,1,66,9,4,0,0,290,0
6801,0,76,0,0,2,15,30,20,2,41,168,2
6901,4,20,4,1,2,45,5,4,0,9,235,0
7001,2,61,0,13,59,43,24,87,0,6,311,0
7101,0,17,1,14,5,509,4,1,1,26,248,2
7201,0,17,1,2,5,32,17,7,1,3,161,0
7301,0,50,1,0,3,63,29,312,0,2,113,0
7401,0,26,0,0,7,20,3,9,0,1,197,0
7501,1,5,2,0,0,26,4,1,0,3,122,7
7601,11,6,1,4,4,140,10,22,2,3,68,0
7701,1,35,7,1,2,55,23,50,0,16,290,1
7801,2,54,5,3,2,43,8,7,0,1,241,0
7901,3,53,2,3,3,37,16,16,4,10,263,1
8001,17,54,4,6,1,10,29,43,14,10,171,0
8101,2,431,3,2,3,28,26,76,0,8,304,1
8201,2,86,8,0,1,18,9,6,0,10,567,0
8301,1,64,1,4,3,33,123,12,2,12,246,30
8401,0,103,0,2,2,13,8,1,1,1,38,0
8501,10,41,2,0,0,16,74,41,0,66,48,0
8601,4,52,4,26,10,34,41,45,11,18,217,1
8701,20,110,1,4,0,36,29,12,1,1,195,0
8801,8,32,2,10,2,21,70,6,1,2,217,0
8901,0,15,6,1,1,127,5,12,0,4,332,0
9001,0,17,1,2,64,33,8,35,0,1,97,0
9101,2,17,2,5,1,36,15,256,2,9,182,0
9201,2,24,4,4,7,15,130,9,5,4,192,1
9301,1,32,2,0,11,107,17,3,15,1,76,0
9401,2,30,2,14,3,241,85,15,1,2,242,0
9501,0,20,1,2,4,159,9,12,0,1,311,0
9601,0,9,0,1,0,20,85,12,0,2,128,0
9701,0,33,1,1,3,19,18,3,0,7,103,1
9801,3,27,1,3,7,94,17,36,1,0,195,0
9901,9,18,4,3,64,141,12,307,1,7,257,0
10001,4,26,1,5,1,116,19,4,0,6,128,0
10101,0,13,0,1,4,211,12,61,4,2,333,0
10201,1,14,1,1,11,44,12,6,1,5,255,0
10301,2,390,2,3,0,66,88,16,1,3,353,0
10401,3,47,26,4,4,30,14,1,0,7,71,3
10501,2,12,6,3,4,31,7,2,2,10,165,2
10601,13,37,13,6,9,44,16,36,4,9,113,13
10701,0,29,4,6,0,51,8,8,0,8,241,4
10801,0,55,3,8,6,13,19,34,0,4,144,0
10901,2,38,0,0,1,23,25,23,1,0,130,0
11001,0,18,3,0,2,66,13,21,2,7,224,1
11101,2,30,1,10,8,115,23,10,4,7,346,1
11201,1,35,1,108,244,429,253,23,2,0,35,1
11301,2,77,6,0,1,30,113,94,1,1,130,0
11401,0,35,0,0,2,68,19,41,7,4,253,0
11501,8,384,3,6,7,334,65,35,0,5,166,1
11601,1,2,0,3,17,38,13,70,0,3,210,2
11701,0,80,3,2,2,32,24,13,0,3,276,1
11801,0,11,2,0,4,5,46,17,0,7,255,0
11901,0,57,1,1,3,23,19,4,0,5,210,1
12001,0,37,2,1,2,31,30,51,2,18,1029,0
12101,9,28,0,4,6,44,83,200,1,6,81,3
12201,0,23,0,2,0,90,10,5,0,2,32,2
12301,3,18,1,3,0,15,31,3,0,0,127,0
12401,3,28,9,0,3,45,7,1,0,4,225,0
12501,7,13,20,0,1,9,23,9,1,1,105,0
12601,0,14,0,1,3,17,7,4,2,1,84,0
12701,8,44,1,8,1,32,25,23,0,8,473,0
12801,0,23,1,1,9,39,14,17,0,8,155,1
12901,0,43,3,1,2,21,48,2,0,1,121,0
13001,2,28,2,2,2,45,11,14,0,3,76,1
13101,8,16,1,3,0,32,23,8,0,4,151,0
13201,2,58,4,4,2,38,31,14,0,2,79,1
13301,0,28,1,1,5,74,30,13,0,7,167,0
13401,1,20,0,5,2,71,27,60,0,14,169,0
13501,0,12,0,1,0,10,8,4,6,4,151,0
13601,8,15,24,0,8,29,13,50,2,2,124,1
13701,6,93,0,0,0,29,31,27,0,1,57,0
13801,14,43,4,0,3,17,4,36,0,1,182,0
13901,4,59,2,2,0,25,30,55,0,1,115,0
14001,4,33,2,2,9,31,20,9,1,17,53,0
14101,5,32,40,4,9,28,83,1016,3,3,144,0
14201,0,13,0,0,3,33,13,30,0,8,92,0
14301,1,47,1,2,3,56,28,21,0,2,90,4
14401,7,29,6,6,2,79,11,376,0,2,34,0
14501,0,353,1,12,4,47,8,38,0,2,476,0
14601,1,15,2,1,1,62,4,8,0,12,80,1
14701,0,27,1,2,0,358,28,36,0,3,1446,0
14801,1,10,0,6,3,30,8,41,4,2,144,0
14901,60,46,1,9,0,66,6,3,0,1,315,0
15001,0,17,0,0,1,20,21,14,0,9,104,0
15101,3,8,0,1,0,14,21,5,0,5,36,0
15201,1,32,1,0,1,70,4,24,0,6,214,1
15301,0,15,0,1,6,35,10,41,1,6,82,0
15401,2,43,0,1,1,16,60,18,2,0,259,0
15501,2,11,2,0,1,49,11,30,2,13,159,2
15601,2,24,2,2,0,25,12,556,0,3,82,0
15701,1,11,1,1,3,71,11,266,0,6,418,0
15801,5,56,3,1,1,32,2,10,0,4,121,3
15901,3,59,4,0,1,45,16,156,2,10,218,1
16001,0,79,0,1,0,24,13,36,0,1,73,0
16101,2,32,2,0,0,34,6,10,0,6,94,0
16201,3,20,2,4,4,28,11,23,0,5,122,0
16301,11,9,0,0,0,68,48,67,0,4,213,0
16401,0,57,8,0,2,77,28,7,0,2,279,0
16501,7,39,2,2,0,37,8,3,0,0,105,0
16601,0,31,2,3,0,27,14,17,0,22,59,0
16701,0,7,0,1,0,124,24,17,0,3,102,0
16801,0,84,2,6,1,11,14,29,0,0,60,0
16901,0,39,2,0,4,31,17,69,0,1,100,0
17001,0,111,1,13,4,192,32,31,1,0,102,1
17101,5,24,2,4,8,50,12,34,1,14,239,2
17201,0,63,4,0,9,27,7,105,0,0,49,0
17301,0,21,0,2,1,28,3,24,0,15,101,0
17401,20,44,1,4,4,42,17,12,2,5,107,0
17501,0,39,1,7,3,20,29,39,18,11,106,1
17601,4,77,5,0,7,30,24,54,0,10,108,0
17701,5,44,4,4,3,201,8,82,2,3,206,0
17801,3,26,0,2,4,74,17,1,0,8,93,1
17901,3,20,1,2,4,13,13,40,0,0,70,0
18001,0,16,1,3,13,23,20,25,1,3,343,0
18101,2,54,3,4,0,159,159,27,0,2,1118,0
18201,0,20,0,0,2,42,17,258,0,1,210,0
18301,1,14,3,3,9,49,84,16,10,15,286,0
18401,4,376,4,4,1,55,22,133,0,8,119,3
18501,2,125,22,2,5,7,37,39,36,6,270,186
18601,4,14,4,18,49,42,18,82,2,10,326,0
18701,1,29,8,6,1,26,15,28,2,9,148,0
18801,1,20,0,5,3,31,20,55,9,20,352,0
18901,0,38,1,5,1,25,31,50,8,11,39,0
19001,11,12,2,0,1,57,6,49,0,6,181,1
19101,2,75,2,0,1,22,9,47,12,1,304,0
19201,0,17,1,2,6,61,530,25,0,4,490,2
19301,3,21,0,2,5,75,38,8,2,1,106,0
19401,2,16,0,1,3,38,4,12,0,1,37,0
19501,1,12,1,10,4,45,9,62,1,1,169,1
19601,0,17,0,13,42,72,34,52,2,8,241,0
19701,4,18,1,6,7,27,27,81,1,4,31,2
19801,0,18,8,1,1,62,24,62,4,11,212,0
19901,5,8,1,6,8,57,18,44,3,4,93,0
20001,2,273,1,0,6,39,95,29,0,4,34,0
20101,2,18,2,1,1,19,18,20,0,2,627,0
20201,0,56,32,3,2,31,9,72,0,24,125,0
20301,1,2851,3,1,1,29,33,9,0,2,1156,0
20401,3,37,3,3,80,35,13,44,0,5,168,0
20501,4,69,5,1,2,19,8,65,5,6,43,0
20601,5,38,1,3,6,35,21,37,2,3,103,0
20701,6,12,17,0,0,18,2,16,1,2,184,0
20801,2,57,4,96,2,36,2,1,0,1,105,1
20901,8,15,2,3,0,20,25,27,0,3,65,0
21001,0,17,13,3,1,26,10,5,1,4,188,3
21101,4,201,4,8,10,21,28,314,0,5,114,0
21201,2,49,1,2,0,164,61,48,27,5,86,5
21301,1,19,5,4,1,41,52,18,1,43,164,0
21401,5,29,1,1,2,44,7,44,0,2,14,0
21501,5,20,17,21,7,95,5,62,0,3,140,19
21601,11,15,23,13,3,172,9,59,52,17,429,237
21701,1,86,6947,29,22,216,73,118,11,167,1556,8
21801,2,27,7,8,1,91,16,26,7,19,4273,2
21901,35,7,3,22,24,62,13,138,17,8,280,1
22001,36,65,9,23,11,453,34,60,9,87,141,2
22101,41,45,6,10,50,158,70,177,9,9,66,1
22201,7,40,3,6,7,78,71,690,8,11,271,2
22301,2,36,17,4,2,102,51,332,37,22,123,10
22401,13,33,0,8,1,28,18,141,19,8,313,1
22501,55,147,47,3,0,30,175,18,41,20,144,3
22601,7,94,18,5,0,269,159,13,1,11,245,1
22701,3,162,22,3,2,741,75,13,0,515,258,0
22801,6,213,6,0,243,75,44,1394,5,3,77,1
22901,7,308,491,24,76,50,34,71,6,56,103,4
23001,63,128,26,82,23,329,175,24,16,398,229,5
23101,7,11,4,0,1,21,1,63,59,4,388,2
23201,7,5,37,7,1,87,18,272,8,30,168,14
23301,4,17,2,3,1,21,11,74,19,5,24,2
23401,34,44,2,3,4,82,50,60,3,10,59,4
23501,13,10,3,2,14,53,29,102,29,7,271,3
23601,3,26,191,6,4,72,52,685,43,20,311,0
23701,4,128,0,1,7,49,50,7,1,11,179,2
23801,0,13,94,2,6,23,9,28,8,40,99,4
23901,19,65,4,0,35,18,10,40,5,5,121,0
24001,6,14,1,11,0,58,5,63,1,10,130,3
24101,1,23,23,0,8,73,16,50,5,26,146,0
24201,7,27,2,2,0,31,4,12,1,2,103,1
24301,46,267,42,6,6,31,21,136,27,159,212,2
24401,20,40,0,19,0,38,9,10,0,7,63,0
24501,29,16,73,28,6,43,16,32,3,8,42,1
24601,2,18,1,3,1,64,4,65,2,2,45,2
24701,78,33,10,2,3,23,8,73,0,11,1201,0
24801,5,36,1,9,5,39,6,78,13,13,109,8
24901,27,26,7,2,334,92,7,21,26,25,335,16
25001,9,34,39,1,7,41,19,79,4,11,207,1
25101,6,30,7,0,17,57,14,252,17,37,46,0
25201,7,34,0,10,6,46,52,311,50,15,233,1
25301,1,26,7,1,1,50,21,205,33,3,104,9
25401,11,31,9,7,5,445,165,241,13,45,391,0
25501,17,250,9,12,26,86,76,190,9,15,531,19
25601,2,25,94,4,12,168,83,140,112,16,1642,5
25701,1,21,34,4,42,43,27,365,4,8,587,4
25801,21,25,1,4,2,46,7,52,28,1,344,0
25901,9,54,7,4,11,100,61,74,5,16,382,1
26001,4,17,0,5,8,208,24,45,1,74,211,1
26101,2,49,33,19,4,63,34,113,11,39,198,0
26201,12,88,49,17,0,74,63,76,5,22,151,4
26301,3,17,0,6,2,29,9,29,0,15,66,1
26401,11,9,3,0,6,58,22,259,8,0,152,14
26501,12,57,4,7,1,55,193,116,346,6,206,426
26601,26,22,0,3,1,21,86,66,4,13,562,4
26701,3,166,4,3,15,93,31,72,3,14,224,0
26801,2,12,5,5,1,92,36,726,3,73,407,3
26901,11,24,0,2,2,58,19,33,6,9,133,0
27001,15,11,3,8,2,51,23,25,2,5,148,0
27101,21,15,4,11,3,47,6,91,6,6,160,1
27201,10,62,21,19,6,114,40,50,2,70,172,3
27301,101,89,11,140,20,148,25,114,48,15,448,111
27401,26,34,24,36,9,96,74,30,10,39,342,18
27501,39,26,34,14,8,74,24,92,7,150,393,4
27601,21,16,39,101,16,104,31,252,8,30,525,3
27701,14,97,10,13,7,149,76,254,6,8,217,0
27801,23,33,4,7,17,160,10,85,18,20,355,23
27901,82,68,2,8,42,74,60,202,32,32,254,1
28001,154,43,1,502,41,254,78,255,9,14,416,8
28101,9,31,2,121,3,62,55,501,6,41,76,1
28201,80,18,189,92,144,167,41,69,39,34,129,42
28301,60,46,8,41,2,64,128,192,77,32,262,4
28401,41,64,22,32,8,67,305,35,33,29,255,20
28501,3,25,9,1,1,35,41,67,12,18,149,6
28601,9,40,2,10,3,70,42,136,10,17,485,1
28701,17,52,2,5,1,47,15,54,20,14,378,3
28801,317,141,10,7,22,75,227,117,337,9,194,140
28901,11,42,15,11,73,106,62,168,16,12,294,3
29001,22,68,2,201,1,21,28,57,1,14,332,1
29101,22,20,21,7,0,88,24,53,7,20,595,1
29201,9,24,1,13,4,18,85,132,9,23,396,8
29301,62,193,15,3,3,54,33,70,15,20,299,3
29401,13,43,8,3,66,43,2729,180,17,17,123,3
29501,28,93,14,6,10,46,107,122,11,86,324,5
29601,13,144,1,4,13,44,19,219,18,1,480,3
29701,52,140,101,30,118,195,259,719,370,287,1176,92
29801,0,0,0,0,0,0,0,0,0,1,16,1
29901,0,0,0,0,0,0,0,0,0,0,0,0
