Accession,Pangolin,PangoVersions,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Release_Date
PV890818.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,complete,Thailand: Bangkok,Thailand,Homo sapiens,2020-01-01,2026-07-08
MZ317946.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29822,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317947.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29860,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317948.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29898,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317949.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29825,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317950.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29841,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317951.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29874,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317952.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29856,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317953.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29849,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317954.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29904,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ317955.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29902,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ318016.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29868,complete,China: Wuhan,China,Homo sapiens,2020-01-10,2025-03-01
MZ318025.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29897,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318026.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318027.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29897,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318028.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29943,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318029.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29890,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318030.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29861,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318031.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29826,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318032.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29897,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
MZ318033.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29892,complete,China: Wuhan,China,Homo sapiens,2020-01-16,2025-03-01
PV714139.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29901,complete,USA: Washington,USA,Homo sapiens,2020-01-19,2025-05-30
MZ317956.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29808,complete,China: Anyan,China,Homo sapiens,2020-01-24,2025-03-01
MZ317957.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29734,complete,China: Anyan,China,Homo sapiens,2020-01-25,2025-03-01
MZ317958.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29786,complete,China: Anyan,China,Homo sapiens,2020-01-25,2025-03-01
MZ317959.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29708,complete,China: Anyan,China,Homo sapiens,2020-01-25,2025-03-01
MZ317961.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29722,complete,China: Anyan,China,Homo sapiens,2020-01-25,2025-03-01
MZ317960.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29696,complete,China: Anyan,China,Homo sapiens,2020-01-26,2025-03-01
MZ317962.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29804,complete,China: Anyan,China,Homo sapiens,2020-01-26,2025-03-01
MZ317963.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29864,complete,China: Anyan,China,Homo sapiens,2020-01-26,2025-03-01
MZ317964.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29783,complete,China: Anyan,China,Homo sapiens,2020-01-27,2025-03-01
